home_team_odds,away_team_odds,match_date,odd_1,odd_x,odd_2,home_team_model,away_team_model,prob_home_win,prob_draw,prob_away_win,ev_1,ev_x,ev_2,value_bet,best_bet
Belgium,Iran,2026-06-21 21:00,1.37,5.0,7.8,Belgium,Iran,46.3,26.7,27.1,-0.3657,0.335,1.1138,✅ YES,2 (Away)  EV=+111.38%
Uruguay,Cape Verde,2026-06-22 00:00,1.4,4.7,7.8,Uruguay,Cape Verde Islands,46.9,26.8,26.2,-0.3434,0.2596,1.0436,✅ YES,2 (Away)  EV=+104.36%
New Zealand,Egypt,2026-06-22 03:00,4.9,3.7,1.72,New Zealand,Egypt,23.9,27.0,49.1,0.1711,-0.001,-0.1555,✅ YES,1 (Home)  EV=+17.11%
Argentina,Austria,2026-06-22 19:00,1.55,4.1,6.0,Argentina,Austria,53.2,23.6,23.2,-0.1754,-0.0324,0.392,✅ YES,2 (Away)  EV=+39.20%
France,Iraq,2026-06-22 23:00,1.09,10.5,23.0,France,Iraq,62.8,23.0,14.2,-0.3155,1.415,2.266,✅ YES,2 (Away)  EV=+226.60%
Norway,Senegal,2026-06-23 02:00,2.1,3.4,3.5,Norway,Senegal,38.1,26.1,35.8,-0.1999,-0.1126,0.253,✅ YES,2 (Away)  EV=+25.30%
Jordan,Algeria,2026-06-23 05:00,7.0,4.5,1.45,Jordan,Algeria,27.1,27.3,45.6,0.897,0.2285,-0.3388,✅ YES,1 (Home)  EV=+89.70%
Portugal,Uzbekistan,2026-06-23 19:00,1.22,6.7,11.0,Portugal,Uzbekistan,61.7,22.6,15.7,-0.2473,0.5142,0.727,✅ YES,2 (Away)  EV=+72.70%
England,Ghana,2026-06-23 22:00,1.28,6.0,9.5,England,Ghana,56.5,24.6,18.9,-0.2768,0.476,0.7955,✅ YES,2 (Away)  EV=+79.55%
Panama,Croatia,2026-06-24 01:00,6.8,4.0,1.52,Panama,Croatia,23.0,26.5,50.4,0.564,0.06,-0.2339,✅ YES,1 (Home)  EV=+56.40%
Colombia,DR Congo,2026-06-24 04:00,1.42,4.5,7.8,Colombia,Congo DR,50.1,25.9,24.0,-0.2886,0.1655,0.872,✅ YES,2 (Away)  EV=+87.20%
Bosnia & Herzegovina,Qatar,2026-06-24 21:00,1.4,4.4,6.8,Bosnia-Herzegovina,Qatar,42.0,28.5,29.6,-0.412,0.254,1.0128,✅ YES,2 (Away)  EV=+101.28%
Switzerland,Canada,2026-06-24 21:00,1.97,3.3,3.6,Switzerland,Canada,50.5,27.7,21.9,-0.0051,-0.0859,-0.2116,❌ NO,1 (Home)  EV=-0.51% (jo vlerë)
Scotland,Brazil,2026-06-25 00:00,6.2,4.5,1.42,Scotland,Brazil,24.8,24.4,50.8,0.5376,0.098,-0.2786,✅ YES,1 (Home)  EV=+53.76%
Morocco,Haiti,2026-06-25 00:00,1.3,5.0,8.5,Morocco,Haiti,58.3,26.2,15.5,-0.2421,0.31,0.3175,✅ YES,2 (Away)  EV=+31.75%
Czech Republic,Mexico,2026-06-25 03:00,4.5,3.4,1.75,Czechia,Mexico,0.9,17.4,81.6,-0.9595,-0.4084,0.428,✅ YES,2 (Away)  EV=+42.80%
South Africa,South Korea,2026-06-25 03:00,5.5,3.7,1.57,South Africa,South Korea,0.9,17.4,81.6,-0.9505,-0.3562,0.2811,✅ YES,2 (Away)  EV=+28.11%
Ecuador,Germany,2026-06-25 22:00,4.6,3.8,1.75,Ecuador,Germany,28.4,24.6,47.0,0.3064,-0.0652,-0.1775,✅ YES,1 (Home)  EV=+30.64%
Curaçao,Ivory Coast,2026-06-25 22:00,12.0,5.8,1.2,Curaçao,Ivory Coast,21.7,26.0,52.3,1.604,0.508,-0.3724,✅ YES,1 (Home)  EV=+160.40%
